model,cv_fold,horizon,rmse,r2
LSTM (hidden=16),1,1,0.7237021923065186,0.041496455669403076
LSTM (hidden=16),1,2,0.7371338605880737,0.004250168800354004
LSTM (hidden=16),1,3,0.8054541945457458,-0.190940260887146
LSTM (hidden=16),1,4,0.7968458533287048,-0.16717159748077393
LSTM (hidden=16),1,5,0.7665128707885742,-0.08257853984832764
LSTM (hidden=16),1,6,0.7831066250801086,-0.1317681074142456
LSTM (hidden=16),1,7,0.7792194485664368,-0.12154674530029297
LSTM (hidden=16),2,1,0.4104437828063965,0.7780673503875732
LSTM (hidden=16),2,2,0.4783134162425995,0.7031040191650391
LSTM (hidden=16),2,3,0.523118793964386,0.6496049165725708
LSTM (hidden=16),2,4,0.5692113637924194,0.5903388261795044
LSTM (hidden=16),2,5,0.5987952947616577,0.551444947719574
LSTM (hidden=16),2,6,0.634469211101532,0.5004091262817383
LSTM (hidden=16),2,7,0.6454373598098755,0.4866330027580261
LSTM (hidden=16),3,1,0.21301978826522827,0.9058153033256531
LSTM (hidden=16),3,2,0.28211092948913574,0.8324817419052124
LSTM (hidden=16),3,3,0.3402254283428192,0.752039909362793
LSTM (hidden=16),3,4,0.383211225271225,0.6802882552146912
LSTM (hidden=16),3,5,0.4252668619155884,0.6010013222694397
LSTM (hidden=16),3,6,0.44581109285354614,0.5550322532653809
LSTM (hidden=16),3,7,0.4673004448413849,0.5032675266265869
LSTM (hidden=16),4,1,0.2859451472759247,0.903108537197113
LSTM (hidden=16),4,2,0.39108842611312866,0.8177285194396973
LSTM (hidden=16),4,3,0.46504732966423035,0.7409425973892212
LSTM (hidden=16),4,4,0.5013147592544556,0.6981574296951294
LSTM (hidden=16),4,5,0.5248561501502991,0.667614221572876
LSTM (hidden=16),4,6,0.5608500242233276,0.6189591288566589
LSTM (hidden=16),4,7,0.5781182050704956,0.5938516855239868
LSTM (hidden=32),1,1,0.53333979845047,0.47942668199539185
LSTM (hidden=32),1,2,0.6614589691162109,0.19820499420166016
LSTM (hidden=32),1,3,0.6869798898696899,0.13364410400390625
LSTM (hidden=32),1,4,0.6983115673065186,0.10363566875457764
LSTM (hidden=32),1,5,0.6396799683570862,0.2460440993309021
LSTM (hidden=32),1,6,0.6951310038566589,0.10823792219161987
LSTM (hidden=32),1,7,0.7151222825050354,0.05537724494934082
LSTM (hidden=32),2,1,0.3942452371120453,0.795239269733429
LSTM (hidden=32),2,2,0.4736723303794861,0.708837628364563
LSTM (hidden=32),2,3,0.5330438017845154,0.6361829042434692
LSTM (hidden=32),2,4,0.5778206586837769,0.5778529644012451
LSTM (hidden=32),2,5,0.5920224189758301,0.561534583568573
LSTM (hidden=32),2,6,0.6152026653289795,0.5302900075912476
LSTM (hidden=32),2,7,0.6264424920082092,0.5164045691490173
LSTM (hidden=32),3,1,0.24761757254600525,0.8727366924285889
LSTM (hidden=32),3,2,0.3042442202568054,0.8051650524139404
LSTM (hidden=32),3,3,0.3431132137775421,0.7478127479553223
LSTM (hidden=32),3,4,0.3944344222545624,0.6612870693206787
LSTM (hidden=32),3,5,0.42256492376327515,0.6060552597045898
LSTM (hidden=32),3,6,0.4444882869720459,0.557668924331665
LSTM (hidden=32),3,7,0.4729457199573517,0.49119335412979126
LSTM (hidden=32),4,1,0.2787732779979706,0.9079079031944275
LSTM (hidden=32),4,2,0.40171369910240173,0.807689905166626
LSTM (hidden=32),4,3,0.4689771234989166,0.7365459203720093
LSTM (hidden=32),4,4,0.5302229523658752,0.6623424291610718
LSTM (hidden=32),4,5,0.5200996994972229,0.6736114025115967
LSTM (hidden=32),4,6,0.5485363602638245,0.6355072259902954
LSTM (hidden=32),4,7,0.5933431386947632,0.5721778869628906
LSTM (hidden=64),1,1,0.5022565126419067,0.538336992263794
LSTM (hidden=64),1,2,0.6268674731254578,0.2798730731010437
LSTM (hidden=64),1,3,0.6439763307571411,0.23871350288391113
LSTM (hidden=64),1,4,0.6611773371696472,0.1964331865310669
LSTM (hidden=64),1,5,0.8411568999290466,-0.3036905527114868
LSTM (hidden=64),1,6,0.8270043134689331,-0.26220881938934326
LSTM (hidden=64),1,7,0.7437217831611633,-0.021689176559448242
LSTM (hidden=64),2,1,0.37028658390045166,0.8193700313568115
LSTM (hidden=64),2,2,0.4800470173358917,0.7009479999542236
LSTM (hidden=64),2,3,0.5359182953834534,0.6322484016418457
LSTM (hidden=64),2,4,0.5791386365890503,0.5759249329566956
LSTM (hidden=64),2,5,0.6001722812652588,0.5493795871734619
LSTM (hidden=64),2,6,0.6229379773139954,0.5184038877487183
LSTM (hidden=64),2,7,0.6409431099891663,0.49375730752944946
LSTM (hidden=64),3,1,0.22923661768436432,0.8909292817115784
LSTM (hidden=64),3,2,0.2877679765224457,0.8256961107254028
LSTM (hidden=64),3,3,0.3457620441913605,0.7439039349555969
LSTM (hidden=64),3,4,0.3857669234275818,0.6760096549987793
LSTM (hidden=64),3,5,0.41976627707481384,0.6112561821937561
LSTM (hidden=64),3,6,0.4448380768299103,0.5569724440574646
LSTM (hidden=64),3,7,0.46404364705085754,0.5101672410964966
LSTM (hidden=64),4,1,0.26501667499542236,0.9167725443840027
LSTM (hidden=64),4,2,0.4077025353908539,0.8019132018089294
LSTM (hidden=64),4,3,0.4866740107536316,0.7162877917289734
LSTM (hidden=64),4,4,0.5193458199501038,0.6760539412498474
LSTM (hidden=64),4,5,0.5696213841438293,0.6084976196289062
LSTM (hidden=64),4,6,0.5648307204246521,0.6135309934616089
LSTM (hidden=64),4,7,0.5763466954231262,0.5963369607925415
