model,cv_fold,horizon,rmse,r2
Transformer size=32,1,1,0.4997861683368683,0.5428671836853027
Transformer size=32,1,2,0.5899105668067932,0.36228013038635254
Transformer size=32,1,3,0.6548244953155518,0.21284884214401245
Transformer size=32,1,4,0.6577780246734619,0.20467466115951538
Transformer size=32,1,5,0.6936088800430298,0.11355912685394287
Transformer size=32,1,6,0.7525975108146667,-0.04530060291290283
Transformer size=32,1,7,0.742154598236084,-0.017387866973876953
Transformer size=32,2,1,0.34657567739486694,0.8417623043060303
Transformer size=32,2,2,0.4473932385444641,0.7402485609054565
Transformer size=32,2,3,0.5178234577178955,0.6566629409790039
Transformer size=32,2,4,0.5636755228042603,0.5982683897018433
Transformer size=32,2,5,0.5914589762687683,0.5623688101768494
Transformer size=32,2,6,0.6136013865470886,0.5327320098876953
Transformer size=32,2,7,0.6302648782730103,0.5104849338531494
Transformer size=32,3,1,0.17364449799060822,0.937416136264801
Transformer size=32,3,2,0.2567545473575592,0.86124187707901
Transformer size=32,3,3,0.3222094476222992,0.7776051163673401
Transformer size=32,3,4,0.3715004026889801,0.6995302438735962
Transformer size=32,3,5,0.409821093082428,0.6294583678245544
Transformer size=32,3,6,0.4414639472961426,0.5636677742004395
Transformer size=32,3,7,0.46846646070480347,0.5007855892181396
Transformer size=32,4,1,0.27098292112350464,0.9129830598831177
Transformer size=32,4,2,0.38583868741989136,0.8225891590118408
Transformer size=32,4,3,0.4535900354385376,0.7535500526428223
Transformer size=32,4,4,0.49623048305511475,0.7042489647865295
Transformer size=32,4,5,0.5263592600822449,0.6657077670097351
Transformer size=32,4,6,0.5461944937705994,0.6386128664016724
Transformer size=32,4,7,0.5625936388969421,0.6153719425201416
Transformer size=64,1,1,0.5395075082778931,0.46731680631637573
Transformer size=64,1,2,0.6440461874008179,0.23986351490020752
Transformer size=64,1,3,0.6588895320892334,0.20304560661315918
Transformer size=64,1,4,0.7100533843040466,0.07323819398880005
Transformer size=64,1,5,0.7171363234519958,0.052402496337890625
Transformer size=64,1,6,0.6726133227348328,0.1650766134262085
Transformer size=64,1,7,0.710196316242218,0.06834602355957031
Transformer size=64,2,1,0.34319907426834106,0.8448306322097778
Transformer size=64,2,2,0.45865386724472046,0.7270084023475647
Transformer size=64,2,3,0.5299966335296631,0.6403305530548096
Transformer size=64,2,4,0.5769378542900085,0.5791418552398682
Transformer size=64,2,5,0.6022912859916687,0.5461920499801636
Transformer size=64,2,6,0.6263685822486877,0.513084888458252
Transformer size=64,2,7,0.6382784843444824,0.49795788526535034
Transformer size=64,3,1,0.19343827664852142,0.9223350286483765
Transformer size=64,3,2,0.2642858326435089,0.8529821634292603
Transformer size=64,3,3,0.3240036070346832,0.7751214504241943
Transformer size=64,3,4,0.3680095076560974,0.7051506042480469
Transformer size=64,3,5,0.3993328809738159,0.6481816172599792
Transformer size=64,3,6,0.4275178611278534,0.5908002853393555
Transformer size=64,3,7,0.4538802206516266,0.5313888788223267
Transformer size=64,4,1,0.2807748019695282,0.9065807461738586
Transformer size=64,4,2,0.3853593170642853,0.823029637336731
Transformer size=64,4,3,0.44162923097610474,0.7663760781288147
Transformer size=64,4,4,0.4875117540359497,0.714550256729126
Transformer size=64,4,5,0.5141470432281494,0.6810398101806641
Transformer size=64,4,6,0.5385799407958984,0.6486189365386963
Transformer size=64,4,7,0.5680351257324219,0.6078954935073853
